datetime,open,high,low,close,volume,symbol,exchange,interval,source
2025-10-01 02:00:00,3.91,4.13,3.89,4.13,79251.67,DOTUSD,binance,1D,tradingview
2025-10-02 02:00:00,4.13,4.34,4.1,4.3,229619.6,DOTUSD,binance,1D,tradingview
2025-10-03 02:00:00,4.3,4.37,4.18,4.34,75700.48,DOTUSD,binance,1D,tradingview
2025-10-04 02:00:00,4.32,4.33,4.14,4.19,183933.33,DOTUSD,binance,1D,tradingview
2025-10-05 02:00:00,4.19,4.37,4.07,4.14,75819.92,DOTUSD,binance,1D,tradingview
2025-10-06 02:00:00,4.14,4.44,4.11,4.4,164663.99,DOTUSD,binance,1D,tradingview
2025-10-07 02:00:00,4.4,4.43,4.1,4.14,156357.72,DOTUSD,binance,1D,tradingview
2025-10-08 02:00:00,4.14,4.25,4.06,4.19,72558.78,DOTUSD,binance,1D,tradingview
2025-10-09 02:00:00,4.19,4.19,3.97,4.07,107692.55,DOTUSD,binance,1D,tradingview
2025-10-10 02:00:00,4.08,4.3,0.97,2.95,2528320.57,DOTUSD,binance,1D,tradingview
2025-10-11 02:00:00,2.94,3.32,2.89,3.0,830149.81,DOTUSD,binance,1D,tradingview
2025-10-12 02:00:00,3.0,3.31,2.92,3.25,209785.32,DOTUSD,binance,1D,tradingview
2025-10-13 02:00:00,3.24,3.45,3.2,3.38,561767.92,DOTUSD,binance,1D,tradingview
2025-10-14 02:00:00,3.39,3.4,3.07,3.25,986689.13,DOTUSD,binance,1D,tradingview
2025-10-15 02:00:00,3.25,3.34,3.09,3.14,693460.61,DOTUSD,binance,1D,tradingview
2025-10-16 02:00:00,3.14,3.21,2.97,3.02,866678.77,DOTUSD,binance,1D,tradingview
2025-10-17 02:00:00,3.02,3.06,2.77,2.9,774513.39,DOTUSD,binance,1D,tradingview
2025-10-18 02:00:00,2.9,2.97,2.89,2.93,227333.87,DOTUSD,binance,1D,tradingview
2025-10-19 02:00:00,2.94,3.06,2.89,3.01,299423.06,DOTUSD,binance,1D,tradingview
2025-10-20 02:00:00,3.01,3.13,2.96,3.09,360204.13,DOTUSD,binance,1D,tradingview
2025-10-21 02:00:00,3.09,3.19,2.95,3.01,321243.73,DOTUSD,binance,1D,tradingview
2025-10-22 02:00:00,3.01,3.03,2.83,2.92,329226.6,DOTUSD,binance,1D,tradingview
2025-10-23 02:00:00,2.92,3.04,2.92,3.0,152169.0,DOTUSD,binance,1D,tradingview
2025-10-24 02:00:00,3.0,3.11,2.99,3.08,158678.96,DOTUSD,binance,1D,tradingview
2025-10-25 02:00:00,3.08,3.1,3.03,3.09,128950.36,DOTUSD,binance,1D,tradingview
2025-10-26 02:00:00,3.09,3.24,3.06,3.2,154741.78,DOTUSD,binance,1D,tradingview
2025-10-27 01:00:00,3.19,3.25,3.12,3.14,229034.21,DOTUSD,binance,1D,tradingview
2025-10-28 01:00:00,3.14,3.19,2.99,3.05,398388.14,DOTUSD,binance,1D,tradingview
2025-10-29 01:00:00,3.05,3.18,3.03,3.08,479758.52,DOTUSD,binance,1D,tradingview
2025-10-30 01:00:00,3.08,3.12,2.78,2.87,852947.67,DOTUSD,binance,1D,tradingview
2025-10-31 01:00:00,2.87,2.93,2.83,2.89,213377.41,DOTUSD,binance,1D,tradingview
