datetime,open,high,low,close,volume,symbol,exchange,interval,source
2023-06-01 02:00:00,5.32,5.33,5.19,5.22,515961.95,DOTUSD,binance,1D,tradingview
2023-06-02 02:00:00,5.21,5.31,5.16,5.28,241023.85,DOTUSD,binance,1D,tradingview
2023-06-03 02:00:00,5.28,5.34,5.25,5.34,84810.17,DOTUSD,binance,1D,tradingview
2023-06-04 02:00:00,5.34,5.38,5.31,5.32,300185.18,DOTUSD,binance,1D,tradingview
2023-06-05 02:00:00,5.31,5.32,4.9,5.07,365576.07,DOTUSD,binance,1D,tradingview
2023-06-06 02:00:00,5.07,5.27,4.99,5.2,140839.78,DOTUSD,binance,1D,tradingview
2023-06-07 02:00:00,5.2,5.21,4.97,5.02,152895.96,DOTUSD,binance,1D,tradingview
2023-06-08 02:00:00,5.02,5.06,4.98,5.03,135612.65,DOTUSD,binance,1D,tradingview
2023-06-09 02:00:00,5.03,5.07,4.93,4.98,95641.6,DOTUSD,binance,1D,tradingview
2023-06-10 02:00:00,4.98,4.98,4.21,4.52,811306.1,DOTUSD,binance,1D,tradingview
2023-06-11 02:00:00,4.52,4.55,4.43,4.52,142087.66,DOTUSD,binance,1D,tradingview
2023-06-12 02:00:00,4.53,4.55,4.42,4.54,171113.86,DOTUSD,binance,1D,tradingview
2023-06-13 02:00:00,4.54,4.71,4.5,4.63,125969.83,DOTUSD,binance,1D,tradingview
2023-06-14 02:00:00,4.63,4.8,4.52,4.57,252448.96,DOTUSD,binance,1D,tradingview
2023-06-15 02:00:00,4.56,4.62,4.27,4.37,280533.07,DOTUSD,binance,1D,tradingview
2023-06-16 02:00:00,4.37,4.46,4.29,4.42,148600.7,DOTUSD,binance,1D,tradingview
2023-06-17 02:00:00,4.42,4.57,4.39,4.53,114804.87,DOTUSD,binance,1D,tradingview
2023-06-18 02:00:00,4.53,4.67,4.48,4.54,135586.92,DOTUSD,binance,1D,tradingview
2023-06-19 02:00:00,4.53,4.59,4.44,4.53,118112.2,DOTUSD,binance,1D,tradingview
2023-06-20 02:00:00,4.53,4.68,4.37,4.66,177857.55,DOTUSD,binance,1D,tradingview
2023-06-21 02:00:00,4.66,4.87,4.64,4.82,186743.31,DOTUSD,binance,1D,tradingview
2023-06-22 02:00:00,4.82,4.98,4.76,4.83,217368.25,DOTUSD,binance,1D,tradingview
2023-06-23 02:00:00,4.83,5.14,4.83,5.11,257558.96,DOTUSD,binance,1D,tradingview
2023-06-24 02:00:00,5.1,5.14,4.92,5.01,179790.31,DOTUSD,binance,1D,tradingview
2023-06-25 02:00:00,5.01,5.25,5.01,5.2,277428.13,DOTUSD,binance,1D,tradingview
2023-06-26 02:00:00,5.2,5.24,5.01,5.03,317320.86,DOTUSD,binance,1D,tradingview
2023-06-27 02:00:00,5.02,5.16,5.0,5.09,144923.41,DOTUSD,binance,1D,tradingview
2023-06-28 02:00:00,5.1,5.1,4.76,4.88,198686.8,DOTUSD,binance,1D,tradingview
2023-06-29 02:00:00,4.88,5.24,4.87,4.98,421054.1,DOTUSD,binance,1D,tradingview
2023-06-30 02:00:00,4.99,5.2,4.81,5.18,380834.06,DOTUSD,binance,1D,tradingview
