datetime,open,high,low,close,volume,symbol,exchange,interval,source
2024-08-01 02:00:00,5.4,5.42,5.02,5.34,223658.07,DOTUSD,binance,1D,tradingview
2024-08-02 02:00:00,5.33,5.37,4.99,5.12,81638.66,DOTUSD,binance,1D,tradingview
2024-08-03 02:00:00,5.13,5.21,4.85,5.05,147311.0,DOTUSD,binance,1D,tradingview
2024-08-04 02:00:00,5.04,5.09,4.55,4.68,232340.06,DOTUSD,binance,1D,tradingview
2024-08-05 02:00:00,4.69,4.72,3.61,4.21,963157.03,DOTUSD,binance,1D,tradingview
2024-08-06 02:00:00,4.2,4.6,4.2,4.51,148153.65,DOTUSD,binance,1D,tradingview
2024-08-07 02:00:00,4.51,4.64,4.41,4.58,138737.28,DOTUSD,binance,1D,tradingview
2024-08-08 02:00:00,4.57,4.9,4.49,4.88,149837.35,DOTUSD,binance,1D,tradingview
2024-08-09 02:00:00,4.88,4.92,4.74,4.79,65207.76,DOTUSD,binance,1D,tradingview
2024-08-10 02:00:00,4.79,4.83,4.73,4.76,148825.4,DOTUSD,binance,1D,tradingview
2024-08-11 02:00:00,4.75,4.84,4.48,4.5,150313.18,DOTUSD,binance,1D,tradingview
2024-08-12 02:00:00,4.5,4.68,4.46,4.59,61908.83,DOTUSD,binance,1D,tradingview
2024-08-13 02:00:00,4.58,4.62,4.4,4.55,67000.18,DOTUSD,binance,1D,tradingview
2024-08-14 02:00:00,4.55,4.56,4.35,4.38,88977.85,DOTUSD,binance,1D,tradingview
2024-08-15 02:00:00,4.39,4.48,4.22,4.28,113902.88,DOTUSD,binance,1D,tradingview
2024-08-16 02:00:00,4.27,4.38,4.22,4.29,72784.39,DOTUSD,binance,1D,tradingview
2024-08-17 02:00:00,4.29,4.39,4.27,4.37,27082.15,DOTUSD,binance,1D,tradingview
2024-08-18 02:00:00,4.37,4.53,4.35,4.39,120728.03,DOTUSD,binance,1D,tradingview
2024-08-19 02:00:00,4.38,4.51,4.34,4.48,86004.91,DOTUSD,binance,1D,tradingview
2024-08-20 02:00:00,4.49,4.61,4.46,4.52,151720.35,DOTUSD,binance,1D,tradingview
2024-08-21 02:00:00,4.53,4.75,4.5,4.67,87162.18,DOTUSD,binance,1D,tradingview
2024-08-22 02:00:00,4.67,4.72,4.6,4.69,62881.21,DOTUSD,binance,1D,tradingview
2024-08-23 02:00:00,4.69,4.96,4.69,4.89,171211.06,DOTUSD,binance,1D,tradingview
2024-08-24 02:00:00,4.9,5.11,4.82,4.98,158849.72,DOTUSD,binance,1D,tradingview
2024-08-25 02:00:00,4.98,5.0,4.75,4.82,339021.29,DOTUSD,binance,1D,tradingview
2024-08-26 02:00:00,4.83,4.86,4.53,4.56,156585.69,DOTUSD,binance,1D,tradingview
2024-08-27 02:00:00,4.56,4.66,4.25,4.38,137543.24,DOTUSD,binance,1D,tradingview
2024-08-28 02:00:00,4.38,4.45,4.17,4.26,136503.03,DOTUSD,binance,1D,tradingview
2024-08-29 02:00:00,4.26,4.4,4.18,4.25,70965.68,DOTUSD,binance,1D,tradingview
2024-08-30 02:00:00,4.25,4.34,4.1,4.28,64175.5,DOTUSD,binance,1D,tradingview
2024-08-31 02:00:00,4.28,4.32,4.22,4.26,28433.25,DOTUSD,binance,1D,tradingview
