datetime,open,high,low,close,volume,symbol,exchange,interval,source
2025-04-01 02:00:00,4.02,4.28,4.02,4.18,157563.36,DOTUSD,binance,1D,tradingview
2025-04-02 02:00:00,4.16,4.24,3.91,3.96,126004.51,DOTUSD,binance,1D,tradingview
2025-04-03 02:00:00,3.96,4.1,3.84,4.05,94276.61,DOTUSD,binance,1D,tradingview
2025-04-04 02:00:00,4.06,4.12,3.95,4.03,99239.58,DOTUSD,binance,1D,tradingview
2025-04-05 02:00:00,4.03,4.07,3.9,3.96,21385.63,DOTUSD,binance,1D,tradingview
2025-04-06 02:00:00,3.95,3.98,3.6,3.68,113140.32,DOTUSD,binance,1D,tradingview
2025-04-07 02:00:00,3.67,3.72,3.29,3.59,561460.62,DOTUSD,binance,1D,tradingview
2025-04-08 02:00:00,3.59,3.7,3.34,3.37,163738.71,DOTUSD,binance,1D,tradingview
2025-04-09 02:00:00,3.35,3.75,3.25,3.64,209385.0,DOTUSD,binance,1D,tradingview
2025-04-10 02:00:00,3.64,3.64,3.39,3.46,204443.31,DOTUSD,binance,1D,tradingview
2025-04-11 02:00:00,3.46,3.59,3.45,3.55,88453.31,DOTUSD,binance,1D,tradingview
2025-04-12 02:00:00,3.56,3.76,3.53,3.72,80062.64,DOTUSD,binance,1D,tradingview
2025-04-13 02:00:00,3.72,3.81,3.62,3.67,174217.31,DOTUSD,binance,1D,tradingview
2025-04-14 02:00:00,3.67,3.79,3.64,3.67,200775.25,DOTUSD,binance,1D,tradingview
2025-04-15 02:00:00,3.67,3.73,3.5,3.52,97567.51,DOTUSD,binance,1D,tradingview
2025-04-16 02:00:00,3.51,3.61,3.48,3.56,104987.02,DOTUSD,binance,1D,tradingview
2025-04-17 02:00:00,3.56,3.69,3.54,3.64,131578.61,DOTUSD,binance,1D,tradingview
2025-04-18 02:00:00,3.64,3.74,3.61,3.67,145034.31,DOTUSD,binance,1D,tradingview
2025-04-19 02:00:00,3.67,3.89,3.65,3.88,75373.95,DOTUSD,binance,1D,tradingview
2025-04-20 02:00:00,3.88,3.94,3.8,3.88,77937.68,DOTUSD,binance,1D,tradingview
2025-04-21 02:00:00,3.87,3.97,3.77,3.77,161017.69,DOTUSD,binance,1D,tradingview
2025-04-22 02:00:00,3.78,4.04,3.69,4.01,233364.25,DOTUSD,binance,1D,tradingview
2025-04-23 02:00:00,4.02,4.2,4.0,4.08,150004.96,DOTUSD,binance,1D,tradingview
2025-04-24 02:00:00,4.1,4.29,3.93,4.27,198087.19,DOTUSD,binance,1D,tradingview
2025-04-25 02:00:00,4.27,4.38,4.22,4.26,162048.42,DOTUSD,binance,1D,tradingview
2025-04-26 02:00:00,4.26,4.36,4.2,4.27,95007.29,DOTUSD,binance,1D,tradingview
2025-04-27 02:00:00,4.26,4.28,4.06,4.09,124950.26,DOTUSD,binance,1D,tradingview
2025-04-28 02:00:00,4.09,4.27,4.02,4.25,161435.88,DOTUSD,binance,1D,tradingview
2025-04-29 02:00:00,4.25,4.33,4.1,4.15,82533.27,DOTUSD,binance,1D,tradingview
2025-04-30 02:00:00,4.15,4.18,4.03,4.06,78778.45,DOTUSD,binance,1D,tradingview
