datetime,open,high,low,close,volume,symbol,exchange,interval,source
2025-02-01 01:00:00,6.34,6.49,5.86,5.91,276094.93,DOTUSD,binance,1D,tradingview
2025-02-02 01:00:00,5.89,6.05,4.87,5.15,750439.49,DOTUSD,binance,1D,tradingview
2025-02-03 01:00:00,5.15,5.28,3.8,5.18,2174647.0,DOTUSD,binance,1D,tradingview
2025-02-04 01:00:00,5.19,5.23,4.58,4.73,535198.27,DOTUSD,binance,1D,tradingview
2025-02-05 01:00:00,4.74,4.87,4.64,4.69,245108.72,DOTUSD,binance,1D,tradingview
2025-02-06 01:00:00,4.71,4.83,4.44,4.49,235621.32,DOTUSD,binance,1D,tradingview
2025-02-07 01:00:00,4.49,4.94,4.46,4.58,557026.5,DOTUSD,binance,1D,tradingview
2025-02-08 01:00:00,4.58,4.77,4.5,4.75,149874.76,DOTUSD,binance,1D,tradingview
2025-02-09 01:00:00,4.75,4.88,4.52,4.77,273131.25,DOTUSD,binance,1D,tradingview
2025-02-10 01:00:00,4.78,4.92,4.62,4.84,193679.76,DOTUSD,binance,1D,tradingview
2025-02-11 01:00:00,4.86,5.21,4.75,4.81,256194.59,DOTUSD,binance,1D,tradingview
2025-02-12 01:00:00,4.81,5.34,4.76,5.24,479440.64,DOTUSD,binance,1D,tradingview
2025-02-13 01:00:00,5.23,5.28,5.07,5.14,108549.65,DOTUSD,binance,1D,tradingview
2025-02-14 01:00:00,5.14,5.38,5.11,5.17,267251.31,DOTUSD,binance,1D,tradingview
2025-02-15 01:00:00,5.17,5.22,4.98,5.03,134240.55,DOTUSD,binance,1D,tradingview
2025-02-16 01:00:00,5.02,5.04,4.82,4.87,78831.26,DOTUSD,binance,1D,tradingview
2025-02-17 01:00:00,4.88,5.06,4.79,4.89,239604.8,DOTUSD,binance,1D,tradingview
2025-02-18 01:00:00,4.9,4.91,4.56,4.76,162054.96,DOTUSD,binance,1D,tradingview
2025-02-19 01:00:00,4.76,4.91,4.71,4.88,76820.35,DOTUSD,binance,1D,tradingview
2025-02-20 01:00:00,4.89,5.07,4.88,5.06,121968.36,DOTUSD,binance,1D,tradingview
2025-02-21 01:00:00,5.06,5.34,4.95,5.06,198934.09,DOTUSD,binance,1D,tradingview
2025-02-22 01:00:00,5.07,5.21,5.02,5.04,198734.28,DOTUSD,binance,1D,tradingview
2025-02-23 01:00:00,5.04,5.13,4.9,4.96,94175.82,DOTUSD,binance,1D,tradingview
2025-02-24 01:00:00,4.95,4.98,4.35,4.41,329679.79,DOTUSD,binance,1D,tradingview
2025-02-25 01:00:00,4.43,4.75,4.15,4.64,425874.26,DOTUSD,binance,1D,tradingview
2025-02-26 01:00:00,4.64,4.93,4.59,4.74,407253.61,DOTUSD,binance,1D,tradingview
2025-02-27 01:00:00,4.76,5.19,4.72,4.94,418146.31,DOTUSD,binance,1D,tradingview
2025-02-28 01:00:00,4.93,4.93,4.45,4.72,317479.99,DOTUSD,binance,1D,tradingview
