datetime,open,high,low,close,volume,symbol,exchange,interval,source
2024-01-01 01:00:00,8.2,8.63,8.07,8.61,173434.45,DOTUSD,binance,1D,tradingview
2024-01-02 01:00:00,8.59,8.82,8.34,8.42,337505.58,DOTUSD,binance,1D,tradingview
2024-01-03 01:00:00,8.42,8.58,6.63,7.64,849726.6,DOTUSD,binance,1D,tradingview
2024-01-04 01:00:00,7.63,8.02,7.48,7.89,272517.46,DOTUSD,binance,1D,tradingview
2024-01-05 01:00:00,7.89,7.96,7.2,7.45,313820.31,DOTUSD,binance,1D,tradingview
2024-01-06 01:00:00,7.45,7.45,6.96,7.14,246274.85,DOTUSD,binance,1D,tradingview
2024-01-07 01:00:00,7.14,7.33,6.82,6.9,292302.15,DOTUSD,binance,1D,tradingview
2024-01-08 01:00:00,6.9,7.53,6.52,7.48,529979.85,DOTUSD,binance,1D,tradingview
2024-01-09 01:00:00,7.49,7.53,6.91,7.13,533204.43,DOTUSD,binance,1D,tradingview
2024-01-10 01:00:00,7.12,8.13,6.83,7.99,825103.96,DOTUSD,binance,1D,tradingview
2024-01-11 01:00:00,7.98,8.58,7.86,8.15,860118.44,DOTUSD,binance,1D,tradingview
2024-01-12 01:00:00,8.14,8.21,7.38,7.56,367005.33,DOTUSD,binance,1D,tradingview
2024-01-13 01:00:00,7.57,7.75,7.37,7.61,183623.58,DOTUSD,binance,1D,tradingview
2024-01-14 01:00:00,7.62,7.7,7.31,7.31,169597.3,DOTUSD,binance,1D,tradingview
2024-01-15 01:00:00,7.31,7.68,7.31,7.51,182827.77,DOTUSD,binance,1D,tradingview
2024-01-16 01:00:00,7.51,7.68,7.34,7.49,199053.98,DOTUSD,binance,1D,tradingview
2024-01-17 01:00:00,7.5,7.6,7.26,7.34,276891.28,DOTUSD,binance,1D,tradingview
2024-01-18 01:00:00,7.34,7.38,6.85,7.01,236975.33,DOTUSD,binance,1D,tradingview
2024-01-19 01:00:00,7.01,7.05,6.58,6.89,250158.7,DOTUSD,binance,1D,tradingview
2024-01-20 01:00:00,6.89,6.95,6.78,6.91,114744.32,DOTUSD,binance,1D,tradingview
2024-01-21 01:00:00,6.91,6.98,6.8,6.82,81674.84,DOTUSD,binance,1D,tradingview
2024-01-22 01:00:00,6.82,6.85,6.29,6.33,266900.75,DOTUSD,binance,1D,tradingview
2024-01-23 01:00:00,6.34,6.45,5.99,6.36,376794.22,DOTUSD,binance,1D,tradingview
2024-01-24 01:00:00,6.36,6.54,6.26,6.47,208793.99,DOTUSD,binance,1D,tradingview
2024-01-25 01:00:00,6.45,6.57,6.35,6.43,147961.64,DOTUSD,binance,1D,tradingview
2024-01-26 01:00:00,6.44,6.73,6.36,6.67,241702.47,DOTUSD,binance,1D,tradingview
2024-01-27 01:00:00,6.67,6.75,6.52,6.67,143444.01,DOTUSD,binance,1D,tradingview
2024-01-28 01:00:00,6.67,6.88,6.57,6.87,134588.47,DOTUSD,binance,1D,tradingview
2024-01-29 01:00:00,6.87,7.3,6.71,7.03,441125.8,DOTUSD,binance,1D,tradingview
2024-01-30 01:00:00,7.03,7.08,6.82,6.84,282785.95,DOTUSD,binance,1D,tradingview
2024-01-31 01:00:00,6.84,6.88,6.58,6.65,240409.69,DOTUSD,binance,1D,tradingview
