datetime,open,high,low,close,volume,symbol,exchange,interval,source
2022-06-01 02:00:00,10.36,10.74,9.27,9.45,1578096.63,DOTUSD,binance,1D,tradingview
2022-06-02 02:00:00,9.45,10.2,9.29,9.88,1032809.76,DOTUSD,binance,1D,tradingview
2022-06-03 02:00:00,9.88,9.91,9.21,9.36,834551.44,DOTUSD,binance,1D,tradingview
2022-06-04 02:00:00,9.37,9.54,9.14,9.44,602404.61,DOTUSD,binance,1D,tradingview
2022-06-05 02:00:00,9.44,9.55,9.26,9.34,473954.38,DOTUSD,binance,1D,tradingview
2022-06-06 02:00:00,9.35,9.92,9.32,9.5,829879.01,DOTUSD,binance,1D,tradingview
2022-06-07 02:00:00,9.49,9.49,8.85,9.22,653453.54,DOTUSD,binance,1D,tradingview
2022-06-08 02:00:00,9.21,9.39,8.89,9.0,611611.56,DOTUSD,binance,1D,tradingview
2022-06-09 02:00:00,9.0,9.45,8.91,9.23,768704.81,DOTUSD,binance,1D,tradingview
2022-06-10 02:00:00,9.23,9.36,8.53,8.65,1025303.52,DOTUSD,binance,1D,tradingview
2022-06-11 02:00:00,8.65,8.84,7.91,8.03,1039605.65,DOTUSD,binance,1D,tradingview
2022-06-12 02:00:00,8.03,8.11,7.38,7.4,1313869.09,DOTUSD,binance,1D,tradingview
2022-06-13 02:00:00,7.42,7.46,6.35,7.03,3559836.59,DOTUSD,binance,1D,tradingview
2022-06-14 02:00:00,7.0,7.56,6.67,7.35,3113838.06000001,DOTUSD,binance,1D,tradingview
2022-06-15 02:00:00,7.36,8.77,6.83,8.49,3212740.52,DOTUSD,binance,1D,tradingview
2022-06-16 02:00:00,8.48,8.54,6.97,7.11,1847682.7,DOTUSD,binance,1D,tradingview
2022-06-17 02:00:00,7.1,7.45,7.02,7.27,1140952.86,DOTUSD,binance,1D,tradingview
2022-06-18 02:00:00,7.26,7.41,6.45,7.04,1963125.55,DOTUSD,binance,1D,tradingview
2022-06-19 02:00:00,7.05,7.63,6.75,7.51,1623914.47,DOTUSD,binance,1D,tradingview
2022-06-20 02:00:00,7.51,8.01,7.16,7.86,1385910.99,DOTUSD,binance,1D,tradingview
2022-06-21 02:00:00,7.86,8.27,7.67,7.76,1198332.99,DOTUSD,binance,1D,tradingview
2022-06-22 02:00:00,7.75,7.81,7.35,7.38,728605.35,DOTUSD,binance,1D,tradingview
2022-06-23 02:00:00,7.39,7.81,7.36,7.78,806981.18,DOTUSD,binance,1D,tradingview
2022-06-24 02:00:00,7.78,8.34,7.72,8.18,929765.12,DOTUSD,binance,1D,tradingview
2022-06-25 02:00:00,8.18,8.36,7.78,8.13,680577.77,DOTUSD,binance,1D,tradingview
2022-06-26 02:00:00,8.13,8.47,7.81,7.83,837836.79,DOTUSD,binance,1D,tradingview
2022-06-27 02:00:00,7.83,8.2,7.71,7.73,634153.37,DOTUSD,binance,1D,tradingview
2022-06-28 02:00:00,7.73,7.99,7.26,7.3,841953.91,DOTUSD,binance,1D,tradingview
2022-06-29 02:00:00,7.31,7.43,6.95,7.03,867608.24,DOTUSD,binance,1D,tradingview
2022-06-30 02:00:00,7.03,7.1,6.62,7.06,904025.19,DOTUSD,binance,1D,tradingview
