datetime,open,high,low,close,volume,symbol,exchange,interval,source
2025-05-01 02:00:00,4.07,4.22,4.07,4.17,61496.92,DOTUSD,binance,1D,tradingview
2025-05-02 02:00:00,4.18,4.29,4.13,4.15,71637.13,DOTUSD,binance,1D,tradingview
2025-05-03 02:00:00,4.16,4.17,4.02,4.03,43508.53,DOTUSD,binance,1D,tradingview
2025-05-04 02:00:00,4.03,4.06,3.9,3.93,190798.64,DOTUSD,binance,1D,tradingview
2025-05-05 02:00:00,3.93,4.02,3.89,3.92,93102.52,DOTUSD,binance,1D,tradingview
2025-05-06 02:00:00,3.92,3.97,3.83,3.97,152864.96,DOTUSD,binance,1D,tradingview
2025-05-07 02:00:00,3.97,4.01,3.88,3.97,75220.52,DOTUSD,binance,1D,tradingview
2025-05-08 02:00:00,3.97,4.49,3.96,4.46,271257.04,DOTUSD,binance,1D,tradingview
2025-05-09 02:00:00,4.46,4.86,4.43,4.8,427612.62,DOTUSD,binance,1D,tradingview
2025-05-10 02:00:00,4.8,5.32,4.8,5.31,529174.65,DOTUSD,binance,1D,tradingview
2025-05-11 02:00:00,5.3,5.37,4.96,5.09,393171.95,DOTUSD,binance,1D,tradingview
2025-05-12 02:00:00,5.1,5.39,4.9,5.07,281062.94,DOTUSD,binance,1D,tradingview
2025-05-13 02:00:00,5.07,5.27,4.83,5.2,192502.64,DOTUSD,binance,1D,tradingview
2025-05-14 02:00:00,5.2,5.26,4.95,4.98,133254.66,DOTUSD,binance,1D,tradingview
2025-05-15 02:00:00,4.99,5.02,4.69,4.77,369380.71,DOTUSD,binance,1D,tradingview
2025-05-16 02:00:00,4.78,4.95,4.71,4.75,203210.38,DOTUSD,binance,1D,tradingview
2025-05-17 02:00:00,4.76,4.77,4.56,4.61,154283.11,DOTUSD,binance,1D,tradingview
2025-05-18 02:00:00,4.61,4.92,4.52,4.8,135909.52,DOTUSD,binance,1D,tradingview
2025-05-19 02:00:00,4.8,4.81,4.42,4.59,128455.43,DOTUSD,binance,1D,tradingview
2025-05-20 02:00:00,4.6,4.72,4.51,4.69,97372.09,DOTUSD,binance,1D,tradingview
2025-05-21 02:00:00,4.68,4.87,4.62,4.75,143006.87,DOTUSD,binance,1D,tradingview
2025-05-22 02:00:00,4.74,4.98,4.73,4.95,174578.39,DOTUSD,binance,1D,tradingview
2025-05-23 02:00:00,4.96,5.11,4.54,4.56,274109.46,DOTUSD,binance,1D,tradingview
2025-05-24 02:00:00,4.57,4.64,4.51,4.55,44388.9,DOTUSD,binance,1D,tradingview
2025-05-25 02:00:00,4.54,4.56,4.35,4.52,99690.92,DOTUSD,binance,1D,tradingview
2025-05-26 02:00:00,4.51,4.61,4.43,4.47,101106.15,DOTUSD,binance,1D,tradingview
2025-05-27 02:00:00,4.46,4.62,4.37,4.53,90499.46,DOTUSD,binance,1D,tradingview
2025-05-28 02:00:00,4.53,4.66,4.41,4.58,105654.15,DOTUSD,binance,1D,tradingview
2025-05-29 02:00:00,4.59,4.68,4.33,4.34,231476.0,DOTUSD,binance,1D,tradingview
2025-05-30 02:00:00,4.34,4.35,4.01,4.05,349218.38,DOTUSD,binance,1D,tradingview
2025-05-31 02:00:00,4.06,4.12,3.9,4.08,136621.23,DOTUSD,binance,1D,tradingview
