datetime,open,high,low,close,volume,symbol,exchange,interval,source
2025-11-01 01:00:00,2.88,2.97,2.87,2.97,329218.52,DOTUSD,binance,1D,tradingview
2025-11-02 01:00:00,2.97,3.01,2.87,2.99,342291.26,DOTUSD,binance,1D,tradingview
2025-11-03 01:00:00,2.99,2.99,2.5,2.58,840806.55,DOTUSD,binance,1D,tradingview
2025-11-04 01:00:00,2.58,2.66,2.34,2.51,1186836.84,DOTUSD,binance,1D,tradingview
2025-11-05 01:00:00,2.51,2.69,2.39,2.67,882843.67,DOTUSD,binance,1D,tradingview
2025-11-06 01:00:00,2.67,2.68,2.53,2.67,679678.54,DOTUSD,binance,1D,tradingview
2025-11-07 01:00:00,2.67,3.34,2.67,3.25,2897822.57000001,DOTUSD,binance,1D,tradingview
2025-11-08 01:00:00,3.26,3.53,3.09,3.25,1253105.13,DOTUSD,binance,1D,tradingview
2025-11-09 01:00:00,3.25,3.31,3.04,3.23,798108.55,DOTUSD,binance,1D,tradingview
2025-11-10 01:00:00,3.23,3.31,3.13,3.26,292327.13,DOTUSD,binance,1D,tradingview
2025-11-11 01:00:00,3.27,3.38,3.04,3.05,226632.92,DOTUSD,binance,1D,tradingview
2025-11-12 01:00:00,3.06,3.14,2.88,2.92,224275.77,DOTUSD,binance,1D,tradingview
2025-11-13 01:00:00,2.92,3.04,2.77,2.85,215898.94,DOTUSD,binance,1D,tradingview
2025-11-14 01:00:00,2.85,2.92,2.75,2.81,316682.38,DOTUSD,binance,1D,tradingview
2025-11-15 01:00:00,2.82,2.95,2.82,2.83,149141.34,DOTUSD,binance,1D,tradingview
2025-11-16 01:00:00,2.83,2.89,2.7,2.79,227820.01,DOTUSD,binance,1D,tradingview
2025-11-17 01:00:00,2.79,2.86,2.63,2.67,176151.54,DOTUSD,binance,1D,tradingview
2025-11-18 01:00:00,2.67,2.8,2.63,2.75,288018.1,DOTUSD,binance,1D,tradingview
2025-11-19 01:00:00,2.75,2.76,2.57,2.69,264592.3,DOTUSD,binance,1D,tradingview
2025-11-20 01:00:00,2.69,2.81,2.5,2.54,289137.55,DOTUSD,binance,1D,tradingview
2025-11-21 01:00:00,2.55,2.59,2.27,2.35,562306.55,DOTUSD,binance,1D,tradingview
2025-11-22 01:00:00,2.34,2.36,2.26,2.31,183638.01,DOTUSD,binance,1D,tradingview
2025-11-23 01:00:00,2.31,2.36,2.25,2.26,164236.32,DOTUSD,binance,1D,tradingview
2025-11-24 01:00:00,2.26,2.4,2.25,2.34,307598.77,DOTUSD,binance,1D,tradingview
2025-11-25 01:00:00,2.34,2.35,2.18,2.29,302681.99,DOTUSD,binance,1D,tradingview
2025-11-26 01:00:00,2.3,2.37,2.24,2.34,325734.71,DOTUSD,binance,1D,tradingview
2025-11-27 01:00:00,2.35,2.39,2.31,2.34,253613.96,DOTUSD,binance,1D,tradingview
2025-11-28 01:00:00,2.34,2.38,2.26,2.29,194451.02,DOTUSD,binance,1D,tradingview
2025-11-29 01:00:00,2.28,2.3,2.23,2.26,119686.06,DOTUSD,binance,1D,tradingview
2025-11-30 01:00:00,2.26,2.29,2.21,2.21,126392.51,DOTUSD,binance,1D,tradingview
