datetime,open,high,low,close,volume,symbol,exchange,interval,source
2022-09-01 02:00:00,7.03,7.2,6.86,7.18,424520.04,DOTUSD,binance,1D,tradingview
2022-09-02 02:00:00,7.18,7.57,7.12,7.3,561113.04,DOTUSD,binance,1D,tradingview
2022-09-03 02:00:00,7.3,7.31,7.18,7.29,292130.52,DOTUSD,binance,1D,tradingview
2022-09-04 02:00:00,7.29,7.41,7.16,7.37,370647.27,DOTUSD,binance,1D,tradingview
2022-09-05 02:00:00,7.38,7.63,7.26,7.37,855572.99,DOTUSD,binance,1D,tradingview
2022-09-06 02:00:00,7.37,7.69,6.84,6.87,943794.69,DOTUSD,binance,1D,tradingview
2022-09-07 02:00:00,6.87,7.29,6.76,7.2,604262.94,DOTUSD,binance,1D,tradingview
2022-09-08 02:00:00,7.19,7.45,7.04,7.39,737182.45,DOTUSD,binance,1D,tradingview
2022-09-09 02:00:00,7.39,7.94,7.36,7.76,952128.36,DOTUSD,binance,1D,tradingview
2022-09-10 02:00:00,7.75,7.88,7.59,7.78,639304.39,DOTUSD,binance,1D,tradingview
2022-09-11 02:00:00,7.78,7.9,7.55,7.7,593394.22,DOTUSD,binance,1D,tradingview
2022-09-12 02:00:00,7.7,8.05,7.57,7.67,1137820.15,DOTUSD,binance,1D,tradingview
2022-09-13 02:00:00,7.67,7.94,7.01,7.07,1273871.71,DOTUSD,binance,1D,tradingview
2022-09-14 02:00:00,7.07,7.3,7.02,7.21,646912.83,DOTUSD,binance,1D,tradingview
2022-09-15 02:00:00,7.21,7.23,6.88,6.93,694472.67,DOTUSD,binance,1D,tradingview
2022-09-16 02:00:00,6.93,6.98,6.72,6.9,683635.79,DOTUSD,binance,1D,tradingview
2022-09-17 02:00:00,6.9,7.16,6.9,7.06,616864.58,DOTUSD,binance,1D,tradingview
2022-09-18 02:00:00,7.06,7.06,6.31,6.45,1093835.86,DOTUSD,binance,1D,tradingview
2022-09-19 02:00:00,6.45,6.55,6.1,6.39,1524467.33,DOTUSD,binance,1D,tradingview
2022-09-20 02:00:00,6.39,6.41,6.18,6.28,951323.29,DOTUSD,binance,1D,tradingview
2022-09-21 02:00:00,6.29,6.57,5.97,6.12,1383195.01,DOTUSD,binance,1D,tradingview
2022-09-22 02:00:00,6.13,6.51,6.09,6.44,855505.21,DOTUSD,binance,1D,tradingview
2022-09-23 02:00:00,6.44,6.63,6.19,6.43,1381870.56,DOTUSD,binance,1D,tradingview
2022-09-24 02:00:00,6.43,6.51,6.24,6.27,791463.53,DOTUSD,binance,1D,tradingview
2022-09-25 02:00:00,6.28,6.38,6.09,6.2,788177.62,DOTUSD,binance,1D,tradingview
2022-09-26 02:00:00,6.2,6.57,6.16,6.56,1954383.14,DOTUSD,binance,1D,tradingview
2022-09-27 02:00:00,6.56,6.81,6.24,6.37,1628987.44,DOTUSD,binance,1D,tradingview
2022-09-28 02:00:00,6.37,6.47,6.17,6.39,955181.17,DOTUSD,binance,1D,tradingview
2022-09-29 02:00:00,6.38,6.48,6.26,6.43,827714.95,DOTUSD,binance,1D,tradingview
2022-09-30 02:00:00,6.44,6.57,6.2,6.32,1327847.57,DOTUSD,binance,1D,tradingview
