datetime,open,high,low,close,volume,symbol,exchange,interval,source
2024-03-01 01:00:00,8.28,8.67,8.27,8.67,374720.06,DOTUSD,binance,1D,tradingview
2024-03-02 01:00:00,8.67,9.47,8.6,9.47,817696.92,DOTUSD,binance,1D,tradingview
2024-03-03 01:00:00,9.48,9.91,8.62,9.79,812669.03,DOTUSD,binance,1D,tradingview
2024-03-04 01:00:00,9.81,10.31,9.55,9.87,1391676.21,DOTUSD,binance,1D,tradingview
2024-03-05 01:00:00,9.86,10.76,8.27,9.35,2024105.24,DOTUSD,binance,1D,tradingview
2024-03-06 01:00:00,9.34,10.57,8.93,10.54,591596.42,DOTUSD,binance,1D,tradingview
2024-03-07 01:00:00,10.55,11.05,10.24,10.42,509378.18,DOTUSD,binance,1D,tradingview
2024-03-08 01:00:00,10.42,10.71,9.96,10.65,389011.03,DOTUSD,binance,1D,tradingview
2024-03-09 01:00:00,10.66,10.98,10.43,10.51,378170.76,DOTUSD,binance,1D,tradingview
2024-03-10 01:00:00,10.51,10.59,9.99,10.28,286730.54,DOTUSD,binance,1D,tradingview
2024-03-11 01:00:00,10.28,11.25,9.82,11.04,650490.82,DOTUSD,binance,1D,tradingview
2024-03-12 01:00:00,11.06,11.14,10.09,10.73,404004.16,DOTUSD,binance,1D,tradingview
2024-03-13 01:00:00,10.73,11.4,10.64,11.38,328395.1,DOTUSD,binance,1D,tradingview
2024-03-14 01:00:00,11.38,11.88,10.53,11.55,950987.91,DOTUSD,binance,1D,tradingview
2024-03-15 01:00:00,11.58,11.7,10.01,10.81,769111.9,DOTUSD,binance,1D,tradingview
2024-03-16 01:00:00,10.81,10.9,9.52,9.68,888836.99,DOTUSD,binance,1D,tradingview
2024-03-17 01:00:00,9.72,10.25,9.19,10.08,241207.84,DOTUSD,binance,1D,tradingview
2024-03-18 01:00:00,10.08,10.45,9.61,9.89,259186.89,DOTUSD,binance,1D,tradingview
2024-03-19 01:00:00,9.9,10.0,8.6,8.77,370446.4,DOTUSD,binance,1D,tradingview
2024-03-20 01:00:00,8.78,9.57,8.5,9.48,344191.93,DOTUSD,binance,1D,tradingview
2024-03-21 01:00:00,9.48,9.58,9.07,9.17,210587.36,DOTUSD,binance,1D,tradingview
2024-03-22 01:00:00,9.18,9.37,8.69,8.93,164700.23,DOTUSD,binance,1D,tradingview
2024-03-23 01:00:00,8.93,9.22,8.86,8.98,112728.03,DOTUSD,binance,1D,tradingview
2024-03-24 01:00:00,8.97,9.44,8.96,9.37,124857.26,DOTUSD,binance,1D,tradingview
2024-03-25 01:00:00,9.39,9.83,9.29,9.74,288002.68,DOTUSD,binance,1D,tradingview
2024-03-26 01:00:00,9.73,10.06,9.51,9.69,225311.5,DOTUSD,binance,1D,tradingview
2024-03-27 01:00:00,9.69,9.81,9.31,9.44,175776.71,DOTUSD,binance,1D,tradingview
2024-03-28 01:00:00,9.44,9.65,9.3,9.51,122861.04,DOTUSD,binance,1D,tradingview
2024-03-29 01:00:00,9.53,9.81,9.3,9.6,290279.72,DOTUSD,binance,1D,tradingview
2024-03-30 01:00:00,9.61,9.7,9.4,9.44,186496.56,DOTUSD,binance,1D,tradingview
2024-03-31 01:00:00,9.44,9.65,9.42,9.64,85366.78,DOTUSD,binance,1D,tradingview
