datetime,open,high,low,close,volume,symbol,exchange,interval,source
2023-11-01 01:00:00,4.45,4.81,4.33,4.73,302810.73,DOTUSD,binance,1D,tradingview
2023-11-02 01:00:00,4.74,4.8,4.53,4.63,457947.5,DOTUSD,binance,1D,tradingview
2023-11-03 01:00:00,4.63,4.65,4.46,4.61,161355.67,DOTUSD,binance,1D,tradingview
2023-11-04 01:00:00,4.61,4.78,4.59,4.68,268882.58,DOTUSD,binance,1D,tradingview
2023-11-05 01:00:00,4.69,4.91,4.66,4.77,500118.1,DOTUSD,binance,1D,tradingview
2023-11-06 01:00:00,4.77,5.0,4.68,4.97,268177.73,DOTUSD,binance,1D,tradingview
2023-11-07 01:00:00,4.96,5.01,4.73,4.93,283087.47,DOTUSD,binance,1D,tradingview
2023-11-08 01:00:00,4.93,5.11,4.86,5.04,359376.78,DOTUSD,binance,1D,tradingview
2023-11-09 01:00:00,5.03,5.26,4.55,5.09,577850.05,DOTUSD,binance,1D,tradingview
2023-11-10 01:00:00,5.09,5.32,4.99,5.3,425118.9,DOTUSD,binance,1D,tradingview
2023-11-11 01:00:00,5.31,5.88,5.1,5.56,771921.19,DOTUSD,binance,1D,tradingview
2023-11-12 01:00:00,5.56,5.87,5.35,5.71,800897.88,DOTUSD,binance,1D,tradingview
2023-11-13 01:00:00,5.71,5.89,5.35,5.35,563662.83,DOTUSD,binance,1D,tradingview
2023-11-14 01:00:00,5.35,5.52,5.01,5.2,413952.68,DOTUSD,binance,1D,tradingview
2023-11-15 01:00:00,5.2,5.65,5.19,5.57,359921.45,DOTUSD,binance,1D,tradingview
2023-11-16 01:00:00,5.57,5.81,5.29,5.35,536256.16,DOTUSD,binance,1D,tradingview
2023-11-17 01:00:00,5.35,5.49,5.06,5.25,333494.78,DOTUSD,binance,1D,tradingview
2023-11-18 01:00:00,5.25,5.3,5.0,5.29,179348.12,DOTUSD,binance,1D,tradingview
2023-11-19 01:00:00,5.29,5.49,5.18,5.44,183626.77,DOTUSD,binance,1D,tradingview
2023-11-20 01:00:00,5.44,5.57,5.26,5.3,291415.32,DOTUSD,binance,1D,tradingview
2023-11-21 01:00:00,5.31,5.33,4.83,4.86,390663.78,DOTUSD,binance,1D,tradingview
2023-11-22 01:00:00,4.85,5.29,4.85,5.17,253409.68,DOTUSD,binance,1D,tradingview
2023-11-23 01:00:00,5.18,5.22,5.09,5.14,138717.42,DOTUSD,binance,1D,tradingview
2023-11-24 01:00:00,5.14,5.3,5.12,5.24,206107.5,DOTUSD,binance,1D,tradingview
2023-11-25 01:00:00,5.24,5.39,5.22,5.33,197060.44,DOTUSD,binance,1D,tradingview
2023-11-26 01:00:00,5.33,5.42,5.16,5.33,260158.31,DOTUSD,binance,1D,tradingview
2023-11-27 01:00:00,5.33,5.38,5.04,5.16,306057.18,DOTUSD,binance,1D,tradingview
2023-11-28 01:00:00,5.16,5.32,5.11,5.28,175405.45,DOTUSD,binance,1D,tradingview
2023-11-29 01:00:00,5.28,5.41,5.15,5.16,398624.78,DOTUSD,binance,1D,tradingview
2023-11-30 01:00:00,5.16,5.58,5.12,5.47,360124.49,DOTUSD,binance,1D,tradingview
