datetime,open,high,low,close,volume,symbol,exchange,interval,source
2024-05-01 02:00:00,6.42,6.93,6.12,6.9,418936.98,DOTUSD,binance,1D,tradingview
2024-05-02 02:00:00,6.9,7.41,6.7,7.28,399716.86,DOTUSD,binance,1D,tradingview
2024-05-03 02:00:00,7.28,7.39,7.0,7.25,296414.68,DOTUSD,binance,1D,tradingview
2024-05-04 02:00:00,7.25,7.26,7.12,7.13,114173.39,DOTUSD,binance,1D,tradingview
2024-05-05 02:00:00,7.13,7.41,7.03,7.31,141061.13,DOTUSD,binance,1D,tradingview
2024-05-06 02:00:00,7.31,7.47,7.07,7.13,111984.78,DOTUSD,binance,1D,tradingview
2024-05-07 02:00:00,7.13,7.3,6.99,7.0,88362.76,DOTUSD,binance,1D,tradingview
2024-05-08 02:00:00,7.0,7.18,6.9,6.98,147790.96,DOTUSD,binance,1D,tradingview
2024-05-09 02:00:00,6.98,7.09,6.78,7.05,68778.31,DOTUSD,binance,1D,tradingview
2024-05-10 02:00:00,7.06,7.15,6.7,6.74,89260.42,DOTUSD,binance,1D,tradingview
2024-05-11 02:00:00,6.75,6.81,6.64,6.66,47424.63,DOTUSD,binance,1D,tradingview
2024-05-12 02:00:00,6.66,6.79,6.6,6.63,44817.89,DOTUSD,binance,1D,tradingview
2024-05-13 02:00:00,6.63,6.83,6.41,6.67,95634.15,DOTUSD,binance,1D,tradingview
2024-05-14 02:00:00,6.67,6.7,6.47,6.48,77107.24,DOTUSD,binance,1D,tradingview
2024-05-15 02:00:00,6.49,7.03,6.47,6.96,138851.21,DOTUSD,binance,1D,tradingview
2024-05-16 02:00:00,6.97,7.07,6.82,7.03,102214.94,DOTUSD,binance,1D,tradingview
2024-05-17 02:00:00,7.03,7.3,7.0,7.2,132413.24,DOTUSD,binance,1D,tradingview
2024-05-18 02:00:00,7.19,7.23,7.07,7.16,46929.51,DOTUSD,binance,1D,tradingview
2024-05-19 02:00:00,7.17,7.18,6.89,6.93,63265.4,DOTUSD,binance,1D,tradingview
2024-05-20 02:00:00,6.93,7.6,6.86,7.58,158809.18,DOTUSD,binance,1D,tradingview
2024-05-21 02:00:00,7.58,7.77,7.43,7.62,185530.07,DOTUSD,binance,1D,tradingview
2024-05-22 02:00:00,7.62,7.7,7.38,7.46,108815.71,DOTUSD,binance,1D,tradingview
2024-05-23 02:00:00,7.46,7.6,6.91,7.2,268447.14,DOTUSD,binance,1D,tradingview
2024-05-24 02:00:00,7.19,7.39,7.02,7.25,125584.93,DOTUSD,binance,1D,tradingview
2024-05-25 02:00:00,7.25,7.44,7.23,7.42,48574.76,DOTUSD,binance,1D,tradingview
2024-05-26 02:00:00,7.42,7.64,7.37,7.55,161545.12,DOTUSD,binance,1D,tradingview
2024-05-27 02:00:00,7.55,7.78,7.37,7.63,116889.32,DOTUSD,binance,1D,tradingview
2024-05-28 02:00:00,7.63,7.66,7.27,7.36,118700.45,DOTUSD,binance,1D,tradingview
2024-05-29 02:00:00,7.37,7.56,7.14,7.17,105133.45,DOTUSD,binance,1D,tradingview
2024-05-30 02:00:00,7.17,7.23,6.92,6.99,140999.36,DOTUSD,binance,1D,tradingview
2024-05-31 02:00:00,6.99,7.06,6.8,6.97,91984.87,DOTUSD,binance,1D,tradingview
