datetime,open,high,low,close,volume,symbol,exchange,interval,source
2023-02-01 01:00:00,6.26,6.49,6.04,6.47,677838.42,DOTUSD,binance,1D,tradingview
2023-02-02 01:00:00,6.47,6.91,6.45,6.54,1045047.23,DOTUSD,binance,1D,tradingview
2023-02-03 01:00:00,6.56,7.12,6.51,7.01,1201396.86,DOTUSD,binance,1D,tradingview
2023-02-04 01:00:00,7.01,7.07,6.83,6.88,490987.86,DOTUSD,binance,1D,tradingview
2023-02-05 01:00:00,6.87,6.89,6.52,6.64,593420.87,DOTUSD,binance,1D,tradingview
2023-02-06 01:00:00,6.64,6.79,6.42,6.49,655340.88,DOTUSD,binance,1D,tradingview
2023-02-07 01:00:00,6.49,6.95,6.48,6.94,616364.48,DOTUSD,binance,1D,tradingview
2023-02-08 01:00:00,6.95,7.01,6.63,6.76,620564.03,DOTUSD,binance,1D,tradingview
2023-02-09 01:00:00,6.76,6.98,6.1,6.24,1511700.65,DOTUSD,binance,1D,tradingview
2023-02-10 01:00:00,6.24,6.31,6.12,6.19,645069.4,DOTUSD,binance,1D,tradingview
2023-02-11 01:00:00,6.18,6.29,6.16,6.28,250095.33,DOTUSD,binance,1D,tradingview
2023-02-12 01:00:00,6.28,6.38,6.08,6.18,372643.36,DOTUSD,binance,1D,tradingview
2023-02-13 01:00:00,6.18,6.24,5.9,6.15,719289.26,DOTUSD,binance,1D,tradingview
2023-02-14 01:00:00,6.14,6.26,6.02,6.23,542943.69,DOTUSD,binance,1D,tradingview
2023-02-15 01:00:00,6.23,6.62,6.16,6.61,693650.32,DOTUSD,binance,1D,tradingview
2023-02-16 01:00:00,6.62,6.73,6.32,6.33,901241.29,DOTUSD,binance,1D,tradingview
2023-02-17 01:00:00,6.32,7.42,6.3,7.29,2596802.64,DOTUSD,binance,1D,tradingview
2023-02-18 01:00:00,7.28,7.37,7.12,7.23,909625.37,DOTUSD,binance,1D,tradingview
2023-02-19 01:00:00,7.23,7.89,7.19,7.44,1967333.07,DOTUSD,binance,1D,tradingview
2023-02-20 01:00:00,7.45,7.57,7.26,7.55,1106703.32,DOTUSD,binance,1D,tradingview
2023-02-21 01:00:00,7.55,7.57,7.13,7.25,774235.55,DOTUSD,binance,1D,tradingview
2023-02-22 01:00:00,7.25,7.27,6.89,7.19,786037.13,DOTUSD,binance,1D,tradingview
2023-02-23 01:00:00,7.19,7.38,7.02,7.09,676453.26,DOTUSD,binance,1D,tradingview
2023-02-24 01:00:00,7.1,7.15,6.47,6.61,813328.59,DOTUSD,binance,1D,tradingview
2023-02-25 01:00:00,6.62,6.65,6.35,6.55,420709.42,DOTUSD,binance,1D,tradingview
2023-02-26 01:00:00,6.54,6.73,6.5,6.69,272304.65,DOTUSD,binance,1D,tradingview
2023-02-27 01:00:00,6.69,6.78,6.49,6.58,396503.51,DOTUSD,binance,1D,tradingview
2023-02-28 01:00:00,6.58,6.6,6.28,6.35,365096.19,DOTUSD,binance,1D,tradingview
